learning_rate,n_trees,threshold,recall,precision,f1,fires_caught,total_fires,false_alarms
0.05,100,0.2,55.9,44.5,49.6,57,102,71
0.05,100,0.25,51.0,47.3,49.1,52,102,58
0.05,100,0.3,47.1,52.2,49.5,48,102,44
0.05,100,0.35,37.3,52.1,43.4,38,102,35
0.05,100,0.4,32.4,50.8,39.5,33,102,32
0.05,200,0.2,51.0,45.6,48.1,52,102,62
0.05,200,0.25,47.1,50.5,48.7,48,102,47
0.05,200,0.3,40.2,51.2,45.1,41,102,39
0.05,200,0.35,36.3,52.1,42.8,37,102,34
0.05,200,0.4,30.4,50.0,37.8,31,102,31
0.05,300,0.2,49.0,47.6,48.3,50,102,55
0.05,300,0.25,44.1,47.9,45.9,45,102,49
0.05,300,0.3,42.2,50.0,45.7,43,102,43
0.05,300,0.35,36.3,49.3,41.8,37,102,38
0.05,300,0.4,33.3,50.0,40.0,34,102,34
0.1,100,0.2,52.9,45.4,48.9,54,102,65
0.1,100,0.25,51.0,47.3,49.1,52,102,58
0.1,100,0.3,49.0,49.0,49.0,50,102,52
0.1,100,0.35,44.1,50.0,46.9,45,102,45
0.1,100,0.4,40.2,53.2,45.8,41,102,36
0.1,200,0.2,51.0,48.1,49.5,52,102,56
0.1,200,0.25,50.0,50.5,50.2,51,102,50
0.1,200,0.3,49.0,52.6,50.8,50,102,45
0.1,200,0.35,43.1,51.2,46.8,44,102,42
0.1,200,0.4,42.2,53.8,47.3,43,102,37
0.1,300,0.2,49.0,48.5,48.8,50,102,53
0.1,300,0.25,46.1,48.0,47.0,47,102,51
0.1,300,0.3,46.1,50.0,48.0,47,102,47
0.1,300,0.35,40.2,49.4,44.3,41,102,42
0.1,300,0.4,38.2,49.4,43.1,39,102,40
0.15,100,0.2,49.0,46.7,47.8,50,102,57
0.15,100,0.25,48.0,51.6,49.7,49,102,46
0.15,100,0.3,45.1,53.5,48.9,46,102,40
0.15,100,0.35,38.2,52.7,44.3,39,102,35
0.15,100,0.4,34.3,53.8,41.9,35,102,30
0.15,200,0.2,47.1,48.5,47.8,48,102,51
0.15,200,0.25,46.1,52.2,49.0,47,102,43
0.15,200,0.3,45.1,53.5,48.9,46,102,40
0.15,200,0.35,41.2,53.2,46.4,42,102,37
0.15,200,0.4,39.2,51.9,44.7,40,102,37
0.15,300,0.2,46.1,49.5,47.7,47,102,48
0.15,300,0.25,44.1,50.0,46.9,45,102,45
0.15,300,0.3,41.2,50.0,45.2,42,102,42
0.15,300,0.35,39.2,51.3,44.4,40,102,38
0.15,300,0.4,39.2,53.3,45.2,40,102,35
0.2,100,0.2,52.0,54.1,53.0,53,102,45
0.2,100,0.25,47.1,55.8,51.1,48,102,38
0.2,100,0.3,39.2,51.9,44.7,40,102,37
0.2,100,0.35,35.3,51.4,41.9,36,102,34
0.2,100,0.4,28.4,48.3,35.8,29,102,31
0.2,200,0.2,46.1,56.0,50.5,47,102,37
0.2,200,0.25,44.1,57.7,50.0,45,102,33
0.2,200,0.3,39.2,54.8,45.7,40,102,33
0.2,200,0.35,35.3,54.5,42.9,36,102,30
0.2,200,0.4,34.3,54.7,42.2,35,102,29
0.2,300,0.2,43.1,57.1,49.2,44,102,33
0.2,300,0.25,40.2,55.4,46.6,41,102,33
0.2,300,0.3,38.2,54.2,44.8,39,102,33
0.2,300,0.35,36.3,52.9,43.0,37,102,33
0.2,300,0.4,34.3,53.0,41.7,35,102,31
0.25,100,0.2,48.0,48.0,48.0,49,102,53
0.25,100,0.25,46.1,50.0,48.0,47,102,47
0.25,100,0.3,42.2,51.8,46.5,43,102,40
0.25,100,0.35,39.2,54.1,45.5,40,102,34
0.25,100,0.4,37.3,56.7,45.0,38,102,29
0.25,200,0.2,47.1,52.2,49.5,48,102,44
0.25,200,0.25,46.1,54.0,49.7,47,102,40
0.25,200,0.3,42.2,53.8,47.3,43,102,37
0.25,200,0.35,36.3,52.1,42.8,37,102,34
0.25,200,0.4,36.3,52.1,42.8,37,102,34
0.25,300,0.2,45.1,54.1,49.2,46,102,39
0.25,300,0.25,43.1,55.0,48.4,44,102,36
0.25,300,0.3,40.2,54.7,46.3,41,102,34
0.25,300,0.35,38.2,54.9,45.1,39,102,32
0.25,300,0.4,37.3,55.9,44.7,38,102,30
